# vendors.csv,system exclusive database,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
]Vendor,VendorTable,None,,,,,,,,
,GS,GS.Detuned Or.2,8,0,18,,,,,
,GS,GS.Organ 5,32,0,18,,,,,
,GS,GS.Church Org.2,8,0,20,,,,,
,GS,GS.Church Org.3,16,0,20,,,,,
,GS,GS.Accordion It,8,0,22,,,,,
,GS,GS.Ukulele,8,0,25,,,,,
,GS,GS.Nylon Gt.o,16,0,25,,,,,
,GS,GS.Nylon Gt.2,32,0,25,,,,,
,GS,GS.12-str Guitar,8,0,26,,,,,
,GS,GS.Mandolin,16,0,26,,,,,
,GS,GS.Hawaiian Gt./Pedal Steel,8,0,27,,,,,
,GS,GS.Chorus Gt.,8,0,28,,,,,
,GS,GS.Funk Gt/Funk Pop,8,0,29,,,,,
,GS,GS.Funk Gt.2,16,0,29,,,,,
,GS,GS.Feedback Gt.,8,0,31,,,,,
,GS,GS.Gt.Feedback,8,0,32,,,,,
,GS,GS.Synth Bass 101,1,0,39,,,,,
,GS,GS.Synth Bass 3/Acid Bass,8,0,39,,,,,
,GS,GS.Synth Bass 4/Beef FM Bass,8,0,40,,,,,
,GS,GS.Rubber Bass,16,0,40,,,,,
,GS,GS.Slow Violin,8,0,41,,,,,
,GS,GS.Orchestra,8,0,49,,,,,
,GS,GS.Syn.Strings 3,8,0,51,,,,,
,GS,GS.Choir Aahs 2,32,0,53,,,,,
,GS,GS.Trombone 2,1,0,58,,,,,
,GS,GS.French Horn2,1,0,61,,,,,
,GS,GS.Brass 2,8,0,62,,,,,
,GS,GS.Synth Brass 3,8,0,63,,,,,
,GS,GS.Analog Brass1/Octave Brass,16,0,63,,,,,
,GS,GS.Synth Brass 4,8,0,64,,,,,
,GS,GS.Analog Brass 2/Velo Brass 1,16,0,64,,,,,
,GS,GS.Square,1,0,81,,,,,
,GS,GS.Sine Wave,8,0,81,,,,,
,GS,GS.Saw,1,0,82,,,,,
,GS,GS.Doctor Solo,8,0,82,,,,,
,GS,GS.Syn Mallet,1,0,99,,,,,
,GS,GS.Echo Bell,1,0,103,,,,,
,GS,GS.Echo Pan,2,0,103,,,,,
,GS,GS.Sitar 2,1,0,105,,,,,
,GS,GS.Taisho Koto,8,0,108,,,,,
,GS,GS.Castanets,8,0,116,,,,,
,GS,GS.Concert Bass Drum,8,0,117,,,,,
,GS,GS.Melo. Tom 2,8,0,118,,,,,
,GS,GS.Tom,8,0,119,,,,,
,GS,GS.Elec Perc,9,0,119,,,,,
,GS,GS.Gt. Cut Noise,1,0,121,,,,,
,GS,GS.String Slap,2,0,121,,,,,
,GS,GS.Flute Key Click,1,0,122,,,,,
,GS,GS.Rain,1,0,123,,,,,
,GS,GS.Thunder,2,0,123,,,,,
,GS,GS.Wind,3,0,123,,,,,
,GS,GS.Stream,4,0,123,,,,,
,GS,GS.Bubble,5,0,123,,,,,
,GS,GS.Dog,1,0,124,,,,,
,GS,GS.Horse-Gallop,2,0,124,,,,,
,GS,GS.Bird 2,3,0,124,,,,,
,GS,GS.Telephone 2,1,0,125,,,,,
,GS,GS.Door Creaking,2,0,125,,,,,
,GS,GS.Door Close,3,0,125,,,,,
,GS,GS.Scratch,4,0,125,,,,,
,GS,GS.Windchime,5,0,125,,,,,
,GS,GS.Car-Engine,1,0,126,,,,,
,GS,GS.Car-Stop,2,0,126,,,,,
,GS,GS.Car-Pass,3,0,126,,,,,
,GS,GS.Car-Crash,4,0,126,,,,,
,GS,GS.Siren,5,0,126,,,,,
,GS,GS.Train,6,0,126,,,,,
,GS,GS.Jetplane,7,0,126,,,,,
,GS,GS.Starship,8,0,126,,,,,
,GS,GS.Burst Noise,9,0,126,,,,,
,GS,GS.Laughing,1,0,127,,,,,
,GS,GS.Screaming,2,0,127,,,,,
,GS,GS.Punch,3,0,127,,,,,
,GS,GS.Heart Beat,4,0,127,,,,,
,GS,GS.Footsteps,5,0,127,,,,,
,GS,GS.Machine Gun,1,0,128,,,,,
,GS,GS.Lasergun,2,0,128,,,,,
,GS,GS.Explosion,3,0,128,,,,,
,MT-32,MT-32.Acou Piano 1,127,0,1,,,,,
,MT-32,MT-32.Acou Piano 2,127,0,2,,,,,
,MT-32,MT-32.Acou Piano 3,127,0,3,,,,,
,MT-32,MT-32.Elec Piano 1,127,0,4,,,,,
,MT-32,MT-32.Elec Piano 2,127,0,5,,,,,
,MT-32,MT-32.Elec Piano 3,127,0,6,,,,,
,MT-32,MT-32.Elec Piano 4,127,0,7,,,,,
,MT-32,MT-32.Honkytonk,127,0,8,,,,,
,MT-32,MT-32.Elec Org 1,127,0,9,,,,,
,MT-32,MT-32.Elec Org 2,127,0,10,,,,,
,MT-32,MT-32.Elec Org 3,127,0,11,,,,,
,MT-32,MT-32.Elec Org 4,127,0,12,,,,,
,MT-32,MT-32.Pipe Org 1,127,0,13,,,,,
,MT-32,MT-32.Pipe Org 2,127,0,14,,,,,
,MT-32,MT-32.Pipe Org 3,127,0,15,,,,,
,MT-32,MT-32.Accordion,127,0,16,,,,,
,MT-32,MT-32.Harpsi 1,127,0,17,,,,,
,MT-32,MT-32.Harpsi 2,127,0,18,,,,,
,MT-32,MT-32.Harpsi 3,127,0,19,,,,,
,MT-32,MT-32.Clavi 1,127,0,20,,,,,
,MT-32,MT-32.Clavi 2,127,0,21,,,,,
,MT-32,MT-32.Clavi 3,127,0,22,,,,,
,MT-32,MT-32.Celesta1,127,0,23,,,,,
,MT-32,MT-32.Celesta2,127,0,24,,,,,
,MT-32,MT-32.Syn Brass 1,127,0,25,,,,,
,MT-32,MT-32.Syn Brass 2,127,0,26,,,,,
,MT-32,MT-32.Syn Brass 3,127,0,27,,,,,
,MT-32,MT-32.Syn Brass 4,127,0,28,,,,,
,MT-32,MT-32.Syn Bass 1,127,0,29,,,,,
,MT-32,MT-32.Syn Bass 2,127,0,30,,,,,
,MT-32,MT-32.Syn Bass 3,127,0,31,,,,,
,MT-32,MT-32.Syn Bass 4,127,0,32,,,,,
,MT-32,MT-32.Fantasy,127,0,33,,,,,
,MT-32,MT-32.Harmo Pan,127,0,34,,,,,
